14-0285-337,87,Passed
14-0188-855,82,Passed
14-0748-809,85,Passed
14-0067-483,85,Passed
14-0033-660,86,Passed
14-1261-621,72,Failed
14-2895-154,89,Passed
14-1184-228,88,Passed
14-2360-883,85,Passed
14-0864-742,87,Passed
14-2839-339,90,Passed
14-1543-241,93,Passed
14-0260-781,85,Passed
14-0121-609,87,Passed
14-2233-254,84,Passed
14-0036-298,82,Passed
14-2659-939,86,Passed
14-0386-668,86,Passed
14-1256-408,90,Passed
14-2658-203,88,Passed
14-0585-156,80,Passed
14-0063-461,84,Passed
14-0657-862,,
14-0806-825,91,Passed
14-0646-468,84,Passed
14-0164-296,87,Passed
14-0101-951,81,Passed
14-0666-903,83,Passed
14-0235-862,77,Passed
14-0548-100,90,Passed
14-0069-446,86,Passed
14-1206-983,86,Passed
13-3001-845,82,Passed
14-0941-640,87,Passed
14-1376-247,93,Passed
14-2513-634,89,Passed
14-2410-312,86,Passed
14-2630-363,85,Passed
14-0083-489,91,Passed
